jp_pointer	jp_address	jp_string	jp_text	en_text
800a52e4	800c07f8	8140	　	 
800a52e8	8003ccf0	82b382d182bd8c958148	さびた剣？	Rusty Sword?
800a52ec	800c07f0	836983438374	ナイフ	Knife
800a52f0	8003cce0	8375838d83938359835c815b8368	ブロンズソード	Bronze Sword
800a52f4	8003ccd0	838d8393834f835c815b8368	ロングソード	Long Sword
800a52f8	8003ccc0	837d838b83588375838c83438368	マルスブレイド	Mars Blade
800a52fc	8003ccac	83548380838983438375838c83438368	サムライブレイド	Samurai Blade
800a5300	8003cc98	83748389836283568385835c815b8368	フラッシュソード	Flash Sword
800a5304	8003cc84	835283438393837d8393834c8389815b	コインマンキラー	Coin Man Killer
800a5308	8003cc70	83688389835383938375838c8343834e	ドラゴンブレイク	Dragon Blade
800a530c	8003cc64	906c8e6182e882cc906e	人斬りの刃	Assassin’s Blade
800a5310	8003cc54	8347834e8358834a838a836f815b	エクスカリバー	Excalibur
800a5314	8003cc44	838f815b838b8368837783758393	ワールドヘブン	World Heaven
800a5318	8003cc34	82e282ad82bd82bd82b882c88c95	やくたたずな剣	Useless Sword
800a531c	8003cc24	82c882bc82cc8381835f838b	なぞのメダル	Mystery Medal
800a5320	8003cc18	96bd82cc82b582b882ad	命のしずく	Drop of Life
800a5324	8003cc08	91ce8b5382cc8381835f838b	対鬼のメダル	vs Ogre Medal
800a5328	8003cbf8	91ce97ec82cc8381835f838b	対霊のメダル	vs Spirit Medal
800a532c	8003cbe8	91ce968282cc8381835f838b	対魔のメダル	vs Demon Medal
800a5330	8003cbd8	91ce97b382cc8381835f838b	対竜のメダル	vs Dragon Medal
800a5334	8003cbc8	91ce906c82cc8381835f838b	対人のメダル	vs Human Medal
800a5338	8003cbb8	91ce88ab82cc8381835f838b	対悪のメダル	vs Familiar Medal
800a533c	8003cba8	83568346837482cc8381835f838b	シェフのメダル	Chef Medal
800a5340	8003cb98	8356815b837482cc8381835f838b	シーフのメダル	Thief Medal
800a5344	8003cb8c	82b182b082e78bca	こげら玉	Woodpecker Egg
800a5348	8003cb80	89a98be082cc8ec0	黄金の実	Golden Fruit
800a534c	8003cb70	91e582ab82c896d882cc8ec0	大きな木の実	Large Berry
800a5350	8003cb60	8fac82b382c896d882cc8ec0	小さな木の実	Small Berry
800a5354	800c07e8	82d982b593f7	ほし肉	Dried Meat
800a5358	800c07e0	82ab82cc82b1	きのこ	Mushroom
800a535c	8003cb54	82b182af82be82f182b2	こけだんご	Moss Ball
800a5360	8003cb48	82a282e082de82b5	いもむし	Caterpillar
800a5364	8003cb38	82cb82b882dd82cc82b582c182db	ねずみのしっぽ	Rat Tail
800a5368	8003cb2c	82c782ad82af82b5	どくけし	Antidote
800a536c	8003cb20	82b982a282b782a29190	せいすい草	Holy Water Herb
800a5370	8003cb14	90ce838d836283688148	石ロッド？	Stone Rod?
800a5374	8003cb04	8357838383938376838d83628368	ジャンプロッド	Jump Rod
800a5378	8003caf0	8386836a8352815b8393838d83628368	ユニコーンロッド	Unicorn Rod
800a537c	8003cae0	838a835e815b8393838d83628368	リターンロッド	Return Rod
800a5380	8003cad0	835a815b8375838d83628368	セーブロッド	Save Rod
800a5384	8003cac0	8375838a834c82cc838d83628368	ブリキのロッド	Tin Rod
800a5388	8003cab4	83708373838b8358	パピルス	Papyrus
800a538c	8003cab4	83708373838b8358	パピルス	Papyrus
800a5390	8003cab4	83708373838b8358	パピルス	Papyrus
800a5394	8003cab4	83708373838b8358	パピルス	Papyrus
800a5398	8003cab4	83708373838b8358	パピルス	Papyrus
800a539c	8003cab4	83708373838b8358	パピルス	Papyrus
800a53a0	8003cab4	83708373838b8358	パピルス	Papyrus
800a53a4	8003cab4	83708373838b8358	パピルス	Papyrus
800a53a8	8003cab4	83708373838b8358	パピルス	Papyrus
800a53ac	8003cab4	83708373838b8358	パピルス	Papyrus
800a53b0	8003cab4	83708373838b8358	パピルス	Papyrus
800a53b4	8003cab4	83708373838b8358	パピルス	Papyrus
800a53b8	8003cab4	83708373838b8358	パピルス	Papyrus
800a53bc	8003cab4	83708373838b8358	パピルス	Papyrus
800a53c0	8003cab4	83708373838b8358	パピルス	Papyrus
800a53c4	8003cab4	83708373838b8358	パピルス	Papyrus
800a53c8	8003caa4	82dc82d982a482cc82c682a282b5	まほうのといし	Magic Stone
800a53cc	8003ca94	82bd82be82cc82aa82e782ad82bd	ただのがらくた	Unremarkable Junk
800a53d0	8003ca84	90ed8e6d82cc8381835f838b	戦士のメダル	Warrior Medal
800a53d4	8003ca70	837483468341838a815b838d83628368	フェアリーロッド	Fairy Rod
800a53d8	8003ca64	8be082cc82a982af82e7	金のかけら	Bit of Gold
800a53dc	800c07d8	8cf582e990ce	光る石	Shiny Stone
800a53e0	8003ca58	8cf582e982c682a282b5	光るといし	Shiny Whetstone
800a53e4	800c07d0	9356968290ce	天魔石	Tenma Stone
800a53e8	8003ca48	935696828c95814597ac90af	天魔剣・流星	Starfall Sword
800a53ec	8003ca38	9356968282cc82b582e182ad	天魔のしゃく	Tenma Shaku
800a53f0	8003ca24	83748348815b835883418362834e8358	フォースアックス	Force Axe
800a53f4	8003ca14	8343815b834f838b835c815b8368	イーグルソード	Eagle Sword
800a53f8	8003ca04	835f815b834e836983438374	ダークナイフ	Dark Knife
800a53fc	8003c9f4	835f815b834e835f834b815b	ダークダガー	Dark Dagger
800a5400	8003c9e4	835f815b834e83418362834e8358	ダークアックス	Dark Axe
800a5404	8003c9d4	835f815b834e8354815b8378838b	ダークサーベル	Dark Saber
800a5408	8003c9c4	835f815b834e835c815b8368	ダークソード	Dark Sword
800a540c	8003c9b4	835f815b834e8375838c83438368	ダークブレイド	Dark Blade
800a5410	8003c9a4	82aa82e782ad82bd838d83628368	がらくたロッド	Junk Rod
800a5414	8003c994	82aa82e782ad82bd8381835f838b	がらくたメダル	Junk Medal
800a5418	8003c988	93568e6782cc8948	天使の羽	Angel Feather
800a541c	8003c978	836883898353839382cc834c836f	ドラゴンのキバ	Dragon Fang
800a5420	8003c964	836883898353839382cc8345838d8352	ドラゴンのウロコ	Dragon Scale
800a5424	8003c958	8be282cc834e838d8358	銀のクロス	Silver Cross
800a5428	8003c944	834383768356838d839382cc82c282a6	イプシロンのつえ	Epsilon Rod
800a542c	8003c934	838f815b8376838d83628368	ワープロッド	Warp Rod
800a5430	8003c928	957396be95a891cc	不明物体	Unknown Item
800a5434	8003c928	957396be95a891cc	不明物体	Unknown Item
800a5438	8003c928	957396be95a891cc	不明物体	Unknown Item
800a543c	8003c928	957396be95a891cc	不明物体	Unknown Item
800a5440	8003c928	957396be95a891cc	不明物体	Unknown Item
800a5444	8003c928	957396be95a891cc	不明物体	Unknown Item
800a5448	8003c918	8dc58ce382cc957396be95a891cc	最後の不明物体	Last Unknown Item
