jp_pointer	jp_address	jp_string	jp_text	en_text
800a4a08	8003a824	814081408140835f837e815b81408140	　　　ダミー　　	      Dummy     
800a4a0c	8003a814	835f837e815b8146838c8378838b	ダミー：レベル	   Dummy: Level 
800a4a10	8003a800	8140814081408352837b838b83678140	　　　コボルト　	     Kobold     
800a4a14	8003a7f0	814081408b538146838c8378838b	　　鬼：レベル	    Ogre: Level 
800a4a18	8003a7dc	8.14081408140834E+031	　　　インプ　　	       Imp      
800a4a1c	8003a7cc	8e6782a296828146838c8378838b	使い魔：レベル	Familiar: Level 
800a4a20	8003a7b8	81408140814083538375838a83938140	　　　ゴブリン　	     Goblin     
800a4a24	8003a7f0	814081408b538146838c8378838b	　　鬼：レベル	    Ogre: Level 
800a4a28	8003a7a4	8140814081408349815b834e81408140	　　　オーク　　	       Orc      
800a4a2c	8003a7f0	814081408b538146838c8378838b	　　鬼：レベル	    Ogre: Level 
800a4a30	8003a790	81408140834f838c8380838a83938140	　　グレムリン　	     Gremlin    
800a4a34	8003a7cc	8e6782a296828146838c8378838b	使い魔：レベル	Familiar: Level 
800a4a38	8003a77c	8140814081408356815b837481408140	　　　シーフ　　	      Thief     
800a4a3c	8003a76c	8140906c8ad48146838c8378838b	　人間：レベル	   Human: Level 
800a4a40	8003a758	814081408140835d8393837281408140	　　　ゾンビ　　	     Zombie     
800a4a44	8003a748	8140814097ec8146838c8378838b	　　霊：レベル	  Spirit: Level 
800a4a48	8003a734	8140814081408353815b835883678140	　　　ゴースト　	      Ghost     
800a4a4c	8003a748	8140814097ec8146838c8378838b	　　霊：レベル	  Spirit: Level 
800a4a50	8003a720	81408140835283438393837d83938140	　　コインマン　	    Coin Man    
800a4a54	8003a7cc	8e6782a296828146838c8378838b	使い魔：レベル	Familiar: Level 
800a4a58	8003a70c	814083818362834c8352834383938140	　メッキコイン　	   Plated Coin  
800a4a5c	8003a7cc	8e6782a296828146838c8378838b	使い魔：レベル	Familiar: Level 
800a4a60	8003a6f8	8140837a837583538375838a83938140	　ホブゴブリン　	    Hobgoblin   
800a4a64	8003a7f0	814081408b538146838c8378838b	　　鬼：レベル	    Ogre: Level 
800a4a68	8003a6e4	8140814081408368838c8343834e8140	　　　ドレイク　	      Drake     
800a4a6c	8003a6d4	8140814097b38146838c8378838b	　　竜：レベル	  Dragon: Level 
800a4a70	8003a6c0	8140835f815b834e8369834383678140	　ダークナイト　	   Dark Knight  
800a4a74	8003a76c	8140906c8ad48146838c8378838b	　人間：レベル	   Human: Level 
800a4a78	8003a6ac	814081408140834f815b838b81408140	　　　グール　　	      Ghoul     
800a4a7c	8003a748	8140814097ec8146838c8378838b	　　霊：レベル	  Spirit: Level 
800a4a80	8003a698	8140814090d48368838c8343834e8140	　　赤ドレイク　	    Red Drake   
